,中类
0,汽车服务相关
1,加油站
13,其它能源站
14,加气站
15,汽车养护/装饰
17,洗车场
18,汽车俱乐部
19,汽车救援
20,汽车配件销售
21,汽车租赁
23,二手车交易
24,充电站
25,汽车销售
26,大众特约销售
33,本田特约销售
37,奥迪特约销售
39,通用特约销售
48,宝马特约销售
51,日产特约销售
55,雷诺特约销售
56,梅赛德斯-奔驰特约销售
59,丰田特约销售
64,斯巴鲁特约销售
65,标致雪铁龙特约销售
69,三菱特约销售
71,菲亚特约销售
73,法拉利特约销售
75,现代特约销售
78,起亚特约销售
81,福特特约销售
85,捷豹特约销售
86,路虎特约销售
87,保时捷特约销售
88,东风特约销售
89,吉利特约销售
91,奇瑞特约销售
92,克莱斯勒特约销售
95,荣威销售
96,名爵销售
97,江淮销售
98,红旗销售
99,长安汽车销售
100,海马汽车销售
101,北京汽车销售
102,长城汽车销售
104,纳智捷销售
105,广汽传祺销售
106,货车销售
107,东风货车销售
108,中国重汽销售
109,一汽解放销售
110,福田卡车销售
111,陕西重汽销售
112,北奔重汽销售
113,江淮货车销售
114,华菱星马销售
115,成都大运汽车销售
116,梅赛德斯-奔驰卡车销售
117,德国曼恩销售
118,斯堪尼亚销售
119,沃尔沃卡车销售
120,观致销售
121,汽车维修
122,汽车综合维修
123,大众特约维修
130,本田特约维修
134,奥迪特约维修
136,通用特约维修
145,宝马特约维修
148,日产特约维修
152,雷诺特约维修
153,梅赛德斯-奔驰特约维修
156,丰田特约维修
161,斯巴鲁特约维修
162,标致雪铁龙特约维修
166,三菱特约维修
168,菲亚特特约维修
170,法拉利特约维修
172,现代特约维修
175,起亚特约维修
178,福特特约维修
182,捷豹特约维修
183,路虎特约维修
184,保时捷特约维修
185,东风特约维修
186,吉利特约维修
188,奇瑞特约维修
189,克莱斯勒特约维修
192,荣威维修
193,名爵维修
194,江淮维修
195,红旗维修
196,长安汽车维修
197,海马汽车维修
198,北京汽车维修
199,长城汽车维修
201,纳智捷维修
202,广汽传祺维修
203,货车维修
204,东风货车维修
205,中国重汽维修
206,一汽解放维修
207,福田卡车维修
208,陕西重汽维修
209,北奔重汽维修
210,江淮货车维修
211,华菱星马维修
212,成都大运汽车维修
213,梅赛德斯-奔驰卡车维修
214,德国曼恩维修
215,斯堪尼亚维修
216,沃尔沃卡车维修
217,观致维修
218,摩托车服务相关
219,摩托车销售
221,摩托车维修
223,餐饮相关场所
224,中餐厅
248,外国餐厅
266,快餐厅
278,休闲餐饮场所
279,咖啡厅
284,茶艺馆
285,冷饮店
286,糕饼店
287,甜品店
288,购物相关场所
289,商场
293,便民商店/便利店
296,家电电子卖场
305,超级市场
319,花鸟鱼虫市场
322,家居建材市场
329,综合市场
336,文化用品店
337,体育用品店
345,特色商业街
347,服装鞋帽皮具店
352,专卖店
367,特殊买卖场所
370,个人用品/化妆品店
372,生活服务场所
373,旅行社
374,信息咨询中心
378,售票处
385,邮局
387,物流速递
389,电讯营业厅
399,事务所
406,人才市场
407,自来水营业厅
408,电力营业厅
409,美容美发店
410,维修站点
411,摄影冲印店
412,洗浴推拿场所
413,洗衣店
414,中介机构
415,搬家公司
416,彩票彩券销售点
418,丧葬设施
422,婴儿服务场所
424,体育休闲服务场所
425,运动场馆
445,高尔夫相关
448,娱乐场所
457,度假疗养场所
460,休闲场所
466,影剧院
470,医疗保健服务场所
471,综合医院
474,专科医院
486,诊所
487,急救中心
488,疾病预防机构
489,医药保健销售店
492,动物医疗场所
495,住宿服务相关
496,宾馆酒店
502,旅馆招待所
504,风景名胜相关
505,公园广场
512,风景名胜
522,商务住宅相关
523,产业园区
524,楼宇
528,住宅区
533,政府及社会团体相关
534,政府机关
542,外国机构
545,民主党派
546,社会团体
556,公检法机构
563,交通车辆管理
570,工商税务机构
574,科教文化场所
575,博物馆
578,展览馆
580,会展中心
581,美术馆
582,图书馆
583,科技馆
584,天文馆
585,文化宫
586,档案馆
587,文艺团体
588,传媒机构
594,学校
602,科研机构
603,培训机构
604,驾校
605,交通服务相关
606,机场相关
613,火车站
624,港口码头
629,长途汽车站
630,地铁站
632,轻轨站
633,公交车站
637,班车站
638,停车场
646,过境口岸
647,出租车
648,轮渡站
649,索道站
650,金融保险服务机构
651,银行
703,银行相关
704,自动提款机
753,保险公司
762,证券公司
764,财务公司
765,公司企业
766,知名企业
767,公司
777,工厂
778,农林牧渔基地
787,道路附属设施
788,警示信息
793,收费站
797,服务区
800,红绿灯
801,路牌信息
802,地名地址信息
803,普通地名
813,自然地名
819,交通地名
831,门牌信息
835,市中心
836,标志性建筑物
837,热点地名
838,公共设施
839,报刊亭
840,公用电话
841,公共厕所
846,紧急避难场所
847,事件活动
848,公众活动
856,突发事件
862,室内设施
863,通行设施
864,建筑物门
866,临街院门
868,虚拟门
