,小类
0,汽车服务相关
1,加油站
2,中国石化
3,中国石油
4,壳牌
5,美孚
6,加德士
7,东方
8,中石油碧辟
9,中石化碧辟
10,道达尔
11,埃索
12,中化道达尔
13,其它能源站
14,加气站
15,汽车养护
16,加水站
17,洗车场
18,汽车俱乐部
19,汽车救援
20,汽车配件销售
21,汽车租赁
22,汽车租赁还车
23,二手车交易
24,充电站
25,汽车销售
26,大众销售
27,上海大众销售
28,一汽-大众销售
29,斯柯达销售
30,进口大众销售
31,宾利销售
32,兰博基尼销售
33,本田销售
34,广汽本田销售
35,东风本田销售
36,本田讴歌销售
37,奥迪销售
38,一汽-大众奥迪销售
39,通用销售
40,凯迪拉克销售
41,别克销售
42,雪佛兰销售
43,欧宝销售
44,萨博销售
45,沃克斯豪尔销售
46,土星销售
47,大宇销售
48,宝马销售
49,宝马MINI销售
50,劳斯莱斯销售
51,日产销售
52,东风日产销售
53,郑州日产销售
54,英菲尼迪销售
55,雷诺销售
56,梅赛德斯-奔驰销售
57,迈巴赫销售
58,精灵销售
59,丰田销售
60,一汽丰田销售
61,广汽丰田销售
62,雷克萨斯销售
63,大发销售
64,斯巴鲁销售
65,雪铁龙销售
66,东风雪铁龙销售
67,东风标致销售
68,DS销售
69,三菱销售
70,广汽三菱销售
71,菲亚特销售
72,阿尔法-罗密欧销售
73,法拉利销售
74,玛莎拉蒂销售
75,现代销售
76,进口现代销售
77,北京现代销售
78,起亚销售
79,进口起亚销售
80,东风悦达起亚销售
81,福特销售
82,马自达销售
83,林肯销售
84,水星销售
85,捷豹销售
86,路虎销售
87,保时捷销售
88,东风销售
89,吉利销售
90,沃尔沃汽车销售
91,奇瑞销售
92,克莱斯勒销售
93,吉普销售
94,道奇销售
95,荣威销售
96,名爵销售
97,江淮销售
98,红旗销售
99,长安汽车销售
100,海马汽车销售
101,北京汽车销售
102,长城汽车销售
103,魏派汽车销售
104,纳智捷销售
105,广汽传祺销售
106,货车销售
107,东风货车销售
108,中国重汽销售
109,一汽解放销售
110,福田卡车销售
111,陕西重汽销售
112,北奔重汽销售
113,江淮货车销售
114,华菱星马销售
115,成都大运汽车销售
116,梅赛德斯-奔驰卡车销售
117,德国曼恩销售
118,斯堪尼亚销售
119,沃尔沃卡车销售
120,观致销售
121,汽车维修
122,汽车综合维修
123,大众维修
124,上海大众维修
125,一汽-大众维修
126,斯柯达维修
127,进口大众维修
128,宾利维修
129,兰博基尼维修
130,本田维修
131,广汽本田维修
132,东风本田维修
133,本田讴歌维修
134,奥迪维修
135,一汽-大众奥迪维修
136,通用维修
137,凯迪拉克维修
138,别克维修
139,雪佛兰维修
140,欧宝维修
141,萨博维修
142,沃克斯豪尔维修
143,土星维修
144,大宇维修
145,宝马维修
146,宝马MINI维修
147,劳斯莱斯维修
148,日产维修
149,英菲尼迪维修
150,东风日产维修
151,郑州日产维修
152,雷诺维修
153,梅赛德斯-奔驰维修
154,迈巴赫维修
155,精灵维修
156,丰田维修
157,一汽丰田维修
158,广汽丰田维修
159,雷克萨斯维修
160,大发维修
161,斯巴鲁维修
162,雪铁龙维修
163,东风标致维修
164,东风雪铁龙维修
165,DS维修
166,三菱维修
167,广汽三菱维修
168,菲亚特维修
169,阿尔法-罗密欧维修
170,法拉利维修
171,玛莎拉蒂维修
172,现代维修
173,进口现代维修
174,北京现代维修
175,起亚维修
176,进口起亚维修
177,东风悦达起亚维修
178,福特维修
179,马自达维修
180,林肯维修
181,水星维修
182,捷豹维修
183,路虎维修
184,保时捷维修
185,东风维修
186,吉利维修
187,沃尔沃汽车维修
188,奇瑞维修
189,克莱斯勒维修
190,吉普维修
191,道奇维修
192,荣威维修
193,名爵维修
194,江淮维修
195,红旗维修
196,长安汽车维修
197,海马汽车维修
198,北京汽车维修
199,长城汽车维修
200,魏派汽车维修
201,纳智捷维修
202,广汽传祺维修
203,货车维修
204,东风货车维修
205,中国重汽维修
206,一汽解放维修
207,福田卡车维修
208,陕西重汽维修
209,北奔重汽维修
210,江淮货车维修
211,华菱星马维修
212,成都大运汽车维修
213,梅赛德斯-奔驰卡车维修
214,德国曼恩维修
215,斯堪尼亚维修
216,沃尔沃卡车维修
217,观致维修
218,摩托车服务相关
219,摩托车销售
220,宝马摩托车销售
221,摩托车维修
222,宝马摩托车维修
223,餐饮相关
224,中餐厅
225,综合酒楼
226,四川菜(川菜)
227,广东菜(粤菜)
228,山东菜(鲁菜)
229,江苏菜
230,浙江菜
231,上海菜
232,湖南菜(湘菜)
233,安徽菜(徽菜)
234,福建菜
235,北京菜
236,湖北菜(鄂菜)
237,东北菜
238,云贵菜
239,西北菜
240,老字号
241,火锅店
242,特色/地方风味餐厅
243,海鲜酒楼
244,中式素菜馆
245,清真菜馆
246,台湾菜
247,潮州菜
248,外国餐厅
249,西餐厅(综合风味)
250,日本料理
251,韩国料理
252,法式菜品餐厅
253,意式菜品餐厅
254,泰国/越南菜品餐厅
255,地中海风格菜品
256,美式风味
257,印度风味
258,英国式菜品餐厅
259,牛扒店(扒房)
260,俄国菜
261,葡国菜
262,德国菜
263,巴西菜
264,墨西哥菜
265,其它亚洲菜
266,快餐厅
267,肯德基
268,麦当劳
269,必胜客
270,永和豆浆
271,茶餐厅
272,大家乐
273,大快活
274,美心
275,吉野家
276,仙跡岩
277,呷哺呷哺
278,休闲餐饮场所
279,咖啡厅
280,星巴克咖啡
281,上岛咖啡
282,Pacific Coffee Company
283,巴黎咖啡店
284,茶艺馆
285,冷饮店
286,糕饼店
287,甜品店
288,购物相关场所
289,商场
290,购物中心
291,普通商场
292,免税品店
293,便民商店/便利店
294,7-ELEVEn便利店
295,OK便利店
296,家电电子卖场
297,综合家电商场
298,国美
299,大中
300,苏宁
301,手机销售
302,数码电子
303,丰泽
304,苏宁镭射
305,超市
306,家乐福
307,沃尔玛
308,华润
309,北京华联
310,上海华联
311,麦德龙
312,乐天玛特
313,华堂
314,卜蜂莲花
315,屈臣氏
316,惠康超市
317,百佳超市
318,万宁超市
319,花鸟鱼虫市场
320,花卉市场
321,宠物市场
322,家居建材市场
323,家具建材综合市场
324,家具城
325,建材五金市场
326,厨卫市场
327,布艺市场
328,灯具瓷器市场
329,综合市场
330,小商品市场
331,旧货市场
332,农副产品市场
333,果品市场
334,蔬菜市场
335,水产海鲜市场
336,文化用品店
337,体育用品店
338,李宁专卖店
339,耐克专卖店
